rhoc,M,R,Lambda,I
4.070319731394050625e+14,2.975123570450295407e-01,1.306842528748843790e+01,6.615822908612149768e+05,1.542057991265124439e-01
4.193840874728645625e+14,3.152910573072975065e-01,1.283994168102669953e+01,5.036378086289089406e+05,1.662420306298101891e-01
4.313307154080350625e+14,3.330697575695654722e-01,1.264939738358857824e+01,3.892591110192807973e+05,1.785798867224005493e-01
4.428636944145143750e+14,3.508484578318334379e-01,1.248881514146232519e+01,3.049221073569066357e+05,1.912071901157058051e-01
4.540489119740033125e+14,3.686271580941014037e-01,1.235228319662824958e+01,2.417668003477863967e+05,2.041140264185438702e-01
4.648992294153048125e+14,3.864058583563693694e-01,1.223532250094796581e+01,1.936881036462194461e+05,2.172920857043318943e-01
4.754395658809305625e+14,4.041845586186373351e-01,1.213448958240362252e+01,1.567143204423943243e+05,2.307341901803170725e-01
4.856911598459513750e+14,4.219632588809052454e-01,1.204707678984625119e+01,1.278866179857083625e+05,2.444346121738727451e-01
4.956690713212868125e+14,4.397419591431732666e-01,1.197093768181639462e+01,1.052052865107040270e+05,2.583878132523365068e-01
5.053949208244528125e+14,4.575206594054411768e-01,1.190436390506345887e+01,8.717585630444901471e+04,2.725887609065118511e-01
5.148975260913409375e+14,4.752993596677091981e-01,1.184594199624662281e+01,7.273365901080194453e+04,2.870338495620400887e-01
5.242076219126612500e+14,4.930780599299771083e-01,1.179452109260935266e+01,6.105229089032657794e+04,3.017189347407489564e-01
5.333108769196888750e+14,5.108567601922451296e-01,1.174914444260271473e+01,5.154897048693591205e+04,3.166399473507712226e-01
5.422522390732188125e+14,5.286354604545130398e-01,1.170900546334791947e+01,4.374376160494831129e+04,3.317932920057837243e-01
5.510490865870856250e+14,5.464141607167809500e-01,1.167343883921703096e+01,3.731501143780591519e+04,3.471751093982824443e-01
5.597133909426198750e+14,5.641928609790489713e-01,1.164186338244022956e+01,3.196137499775434117e+04,3.627823025687361147e-01
5.681977526335662500e+14,5.819715612413169925e-01,1.161379731119944658e+01,2.750965668621397708e+04,3.786116553019492903e-01
5.765750763580008750e+14,5.997502615035849027e-01,1.158881989881617791e+01,2.376366072684248866e+04,3.946603102958764486e-01
5.848574707469235000e+14,6.175289617658528130e-01,1.156657328610676672e+01,2.060713128466690978e+04,4.109251186056747662e-01
5.929792770220445000e+14,6.353076620281208342e-01,1.154674635769925217e+01,1.793138529051848309e+04,4.274036308305649290e-01
6.010234324753675000e+14,6.530863622903888555e-01,1.152906692983221149e+01,1.565537175230327921e+04,4.440931472521639778e-01
6.089629485914273750e+14,6.708650625526567657e-01,1.151329898792565309e+01,1.371241657311211202e+04,4.609912339036159601e-01
6.167926635513057500e+14,6.886437628149246759e-01,1.149923505939525370e+01,1.204434160788682129e+04,4.780955741901985467e-01
6.245752158505707500e+14,7.064224630771926972e-01,1.148669444456637834e+01,1.061089857730738731e+04,4.954040876191857512e-01
6.322518404543658750e+14,7.242011633394606074e-01,1.147551309033928746e+01,9.371946167379632243e+03,5.129146573978177193e-01
6.399075005763812500e+14,7.419798636017285176e-01,1.146554695995237161e+01,8.297808830816336922e+03,5.306245890419740707e-01
6.474944573701391250e+14,7.597585638639965389e-01,1.145666467597635751e+01,7.362710640317314756e+03,5.485315391749316927e-01
6.550540662245680000e+14,7.775372641262645601e-01,1.144874930292083093e+01,6.548968413748517378e+03,5.666330366945028230e-01
6.625570417827298750e+14,7.953159643885324703e-01,1.144169640378005681e+01,5.838791493359713968e+03,5.849266499592101765e-01
6.700311229005658750e+14,8.130946646508004916e-01,1.143541122311489211e+01,5.214189145376040869e+03,6.034100785209032258e-01
6.774598030638850000e+14,8.308733649130684018e-01,1.142980903026550266e+01,4.666366780374232803e+03,6.220810375125784830e-01
6.848629322468623750e+14,8.486520651753364231e-01,1.142481607669226129e+01,4.183240227958578544e+03,6.409371897039218835e-01
6.922252868967390000e+14,8.664307654376043333e-01,1.142036114916900758e+01,3.756659408970119330e+03,6.599764785617910912e-01
6.995735120911342500e+14,8.842094656998722435e-01,1.141638295008372950e+01,3.379298461362770922e+03,6.791967085315528951e-01
7.068850692648340000e+14,9.019881659621402648e-01,1.141282370638554511e+01,3.044036036339091879e+03,6.985958538222456493e-01
7.141993340784642500e+14,9.197668662244081750e-01,1.140963335004172308e+01,2.746543799026156194e+03,7.181719473336023452e-01
7.214819912870901250e+14,9.375455664866761962e-01,1.140676402127231803e+01,2.481872310892180394e+03,7.379226732667782951e-01
7.287840701840198750e+14,9.553242667489441065e-01,1.140417062270811144e+01,2.245512966557999789e+03,7.578460513239150265e-01
7.360498760291538750e+14,9.731029670112121277e-01,1.140181351124032894e+01,2.034216912532234574e+03,7.779398933816872308e-01
7.433453319091677500e+14,9.908816672734800379e-01,1.139965453362225567e+01,1.845335710513674485e+03,7.982021965820338405e-01
7.506144755517712500e+14,1.008660367535747948e+00,1.139766114697764188e+01,1.675968000175803127e+03,8.186306033771177937e-01
7.579087079592093750e+14,1.026439067798015969e+00,1.139579972101750904e+01,1.523878670388602131e+03,8.392234027934740714e-01
