rhoc,M,R,Lambda
2.383511234928888750e+14,2.975828720766964808e-01,1.353196353474707969e+01,1.591628678637196776e+06
2.459400397194927188e+14,3.159612903270454520e-01,1.345201504600134967e+01,1.223643106509803794e+06
2.534707229838230938e+14,3.343397085773943678e-01,1.338764377757999924e+01,9.538048131256222259e+05
2.609492537679583438e+14,3.527181268277433390e-01,1.333553056270543991e+01,7.522670441689642612e+05
2.683696398757337188e+14,3.710965450780923103e-01,1.329317893535925243e+01,5.995440692549372325e+05
2.757452182419375000e+14,3.894749633284412260e-01,1.325867278842666686e+01,4.824023294006393990e+05
2.830708811704758750e+14,4.078533815787901973e-01,1.323053201012624491e+01,3.915444973710966296e+05
2.903540607335275000e+14,4.262317998291391685e-01,1.320758993605337039e+01,3.203420816593990894e+05
2.976016745900559375e+14,4.446102180794880843e-01,1.318891135333443110e+01,2.639676613775846781e+05
3.048132330403116875e+14,4.629886363298370555e-01,1.317375594423697827e+01,2.189280349005964526e+05
3.119914915974706250e+14,4.813670545801860268e-01,1.316150427742973861e+01,1.827363540940453531e+05
3.191434579159219375e+14,4.997454728305349425e-01,1.315166576100721763e+01,1.533642783050034777e+05
3.262725297651066875e+14,5.181238910808838583e-01,1.314383046042791570e+01,1.293986613100535906e+05
3.333807249813761875e+14,5.365023093312328850e-01,1.313765949311136794e+01,1.097150475078615709e+05
3.404712289538525625e+14,5.548807275815819118e-01,1.313286421771141832e+01,9.346716703032812802e+04
3.475489257702326250e+14,5.732591458319307165e-01,1.312920568675009569e+01,7.992725599146437889e+04
3.546147266956969375e+14,5.916375640822797433e-01,1.312648271121544319e+01,6.864426136379636591e+04
3.616707165513808750e+14,6.100159823326287700e-01,1.312452355529812564e+01,5.917152502001178073e+04
3.687233305410320625e+14,6.283944005829775747e-01,1.312317979694962666e+01,5.118236162393906852e+04
3.757742042869290625e+14,6.467728188333266015e-01,1.312232566937338873e+01,4.442214603747199726e+04
3.828231025037346875e+14,6.651512370836756283e-01,1.312185351861572258e+01,3.867524523222698190e+04
3.898757167093873125e+14,6.835296553340244330e-01,1.312166919738681159e+01,3.376886777436977718e+04
