rhoc,R,M,Lambda
2.240000000000000000e+14,1.999999999999991473e+01,1.637083800419399937e-01,2.264740672357306629e+07
2.556767676767676875e+14,1.816000919999992647e+01,2.044503106084329946e-01,6.806825164267406799e+06
2.873535353535353750e+14,1.560002199999993699e+01,2.625452728572560401e-01,1.995006275127381319e+06
3.190303030303030000e+14,1.424002879999994242e+01,3.409772137504368250e-01,5.910536855084111448e+05
3.507070707070706875e+14,1.354003229999994673e+01,4.404264181463117822e-01,1.847026677112226607e+05
3.823838383838383750e+14,1.322003389999994738e+01,5.591670374703702207e-01,6.261516447474426241e+04
4.140606060606060625e+14,1.310003449999994807e+01,6.934963385271069036e-01,2.332736415730596491e+04
4.457373737373737500e+14,1.310003449999994807e+01,8.384697742791382691e-01,9.574939177157901213e+03
4.774141414141413750e+14,1.316003419999994861e+01,9.887342803441511174e-01,4.314279114585939169e+03
5.090909090909090625e+14,1.322003389999994738e+01,1.139254736832412407e+00,2.119184876202497435e+03
5.407676767676767500e+14,1.328003359999994792e+01,1.285802502046772045e+00,1.125687411726348273e+03
5.724444444444445000e+14,1.332003339999994651e+01,1.425175348910945994e+00,6.412570118641349382e+02
6.041212121212121250e+14,1.336003319999994687e+01,1.555211849682169856e+00,3.885564236810274110e+02
6.357979797979797500e+14,1.338003309999994705e+01,1.674668128491640262e+00,2.485855195137440035e+02
6.674747474747475000e+14,1.338003309999994705e+01,1.783037853060703615e+00,1.667850315676366790e+02
6.991515151515151250e+14,1.338003309999994705e+01,1.880355447681119507e+00,1.166612926704462154e+02
7.308282828282827500e+14,1.336003319999994687e+01,1.967030383009533923e+00,8.462803368514002500e+01
7.625050505050505000e+14,1.334003329999994669e+01,2.012444396393932688e+00,7.136220543052920107e+01
7.941818181818181250e+14,1.334003329999994669e+01,2.014356416066716893e+00,7.084637257340926908e+01
8.258585858585858750e+14,1.332003339999994651e+01,2.016092922231267792e+00,7.037471194232333005e+01
8.575353535353535000e+14,1.332003339999994651e+01,2.017662843252671756e+00,6.995187685678860134e+01
